Numero,NOME DA ESTAÇÃO,CODIGO OMM,ESTADO
1,ACARAU - CE,82294,CE
2,AGUA BRANCA - AL,82989,AL
3,AIMORES - MG,83595,MG
4,ALAGOINHAS - BA,83249,BA
5,ALTAMIRA - PA,82353,PA
6,ALTO PARNAIBA - MA,82970,MA
7,APODI - RN,82590,RN
8,ARACAJU - SE,83096,SE
9,ARACUAI - MG,83442,MG
10,ARAGARCAS - GO,83368,GO
11,ARAGUAINA - TO,82659,TO
12,ARAXA - MG,83579,MG
13,ARCOVERDE - PE,82890,PE
14,AREIA - PB,82696,PB
15,ARINOS - MG,83384,MG
16,AVARE - SP,83773,SP
17,AVELAR (P.DO ALFERES) - RJ,83049,RJ
18,BACABAL - MA,82460,MA
19,BAGE - RS,83980,RS
20,BALSAS - MA,82768,MA
21,BAMBUI - MG,83582,MG
22,BARBACENA - MG,83689,MG
23,BARBALHA - CE,82784,CE
24,BARCELOS - AM,82113,AM
25,BARRA - BA,83179,BA
26,BARRA DO CORDA - MA,82571,MA
27,BARREIRAS - BA,83236,BA
28,BELEM - PA,82191,PA
29,BELO HORIZONTE - MG,83587,MG
30,BELTERRA - PA,82246,PA
31,BENJAMIN CONSTANT - AM,82410,AM
32,BENTO GONCALVES - RS,83941,RS
33,BOA VISTA - RR,82024,RR
34,BOM DESPACHO - MG,83533,MG
35,BOM JESUS - RS,83919,RS
36,BOM JESUS DA LAPA - BA,83288,BA
37,BOM JESUS DO PIAUI - PI,82975,PI
38,BRASILIA - DF,83377,DF
39,BREVES - PA,82188,PA
40,C. DO MATO DENTRO - MG,83589,MG
41,CABROBO - PE,82886,PE
42,CACERES - MT,83405,MT
43,CAETITE - BA,83339,BA
44,CALDAS(P. DE CALDAS) - MG,83681,MG
45,CALDEIRAO - PI,82474,PI
46,CAMETA - PA,82263,PA
47,CAMPINA GRANDE - PB,82795,PB
48,CAMPO MOURAO - PR,83783,PR
49,CAMPOS - RJ,83698,RJ
50,CAMPOS DO JORDAO - SP,83714,SP
51,CAMPOS NOVOS - SC,83887,SC
52,CAMPOS SALES - CE,82777,CE
53,CANARANA - MT,83270,MT
54,CANAVIEIRAS - BA,83398,BA
55,CAPARAO - MG,83639,MG
56,CAPINOPOLIS - MG,83514,MG
57,CARACARAI - RR,82042,RR
58,CARACOL - PI,82976,PI
59,CARATINGA - MG,83592,MG
60,CARAVELAS - BA,83498,BA
61,CARBONITA - MG,83485,MG
62,CARINHANHA - BA,83408,BA
63,CAROLINA - MA,82765,MA
64,CASTRO - PR,83813,PR
65,CATALAO - GO,83526,GO
66,CATANDUVA - SP,83676,SP
67,CAXIAS - MA,82476,MA
68,CAXIAS DO SUL - RS,83942,RS
69,CEARA MIRIM - RN,82596,RN
70,CHAPADINHA - MA,82382,MA
71,CHAPECO - SC,83883,SC
72,CIPO - BA,83192,BA
73,COARI - AM,82425,AM
74,CODAJAS - AM,82326,AM
75,COLINAS - MA,82676,MA
76,CONCEICAO DO ARAGUAIA - PA,82861,PA
77,CORDEIRO - RJ,83718,RJ
78,CORONEL PACHECO - MG,83037,MG
79,CORRENTINA - BA,83286,BA
80,CORUMBA - MS,83552,MS
81,CRATEUS - CE,82583,CE
82,CRUZ ALTA - RS,83912,RS
83,CRUZ DAS ALMAS - BA,83222,BA
84,CRUZEIRO DO SUL - AC,82704,AC
85,CRUZETA - RN,82693,RN
86,CUIABA - MT,83361,MT
87,CURITIBA - PR,83842,PR
88,CURVELO - MG,83536,MG
89,DIAMANTINA - MG,83538,MG
90,DIAMANTINO - MT,83309,MT
91,DIVINOPOLIS - MG,83635,MG
92,EIRUNEPE - AM,82610,AM
93,ENCRUZILHADA DO SUL - RS,83964,RS
94,ESPERANTINA - PI,82298,PI
95,ESPINOSA - MG,83338,MG
96,FEIRA DE SANTANA - BA,83221,BA
97,FLORANIA - RN,82691,RN
98,FLORESTAL - MG,83581,MG
99,FLORIANO - PI,82678,PI
100,FLORIANOPOLIS - SC,83897,SC
101,FONTE BOA - AM,82212,AM
102,FORMOSA - GO,83379,GO
103,FORMOSO - MG,83334,MG
104,FORTALEZA - CE,82397,CE
105,FRANCA - SP,83630,SP
106,FRUTAL - MG,83574,MG
107,GARANHUNS - PE,82893,PE
108,GLEBA CELESTE - MT,83264,MT
109,GOIANIA - GO,83423,GO
110,GOIAS - GO,83374,GO
111,GUARAMIRANGA - CE,82487,CE
112,GUARATINGA - BA,83446,BA
113,GUARULHOS - SP,83075,SP
114,IAUARETE - AM,82067,AM
115,IBIRITE - MG,83632,MG
116,IGUATU - CE,82686,CE
117,IMPERATRIZ - MA,82564,MA
118,INDAIAL - SC,83872,SC
119,IPAMERI - GO,83522,GO
120,IRAI - RS,83881,RS
121,IRATI - PR,83836,PR
122,IRECE - BA,83182,BA
123,ITABAIANINHA - SE,83195,SE
124,ITABERABA - BA,83244,BA
125,ITACOATIARA - AM,82336,AM
126,ITAITUBA - PA,82445,PA
127,ITAMARANDIBA - MG,83488,MG
128,ITAPERUNA - RJ,83695,RJ
129,ITIRUCU (JAGUAQUARA) - BA,83295,BA
130,ITUACU - BA,83292,BA
131,ITUIUTABA - MG,83521,MG
132,ITUMBIARA - GO,83523,GO
133,IVAI - PR,83811,PR
134,IVINHEMA - MS,83704,MS
135,JACOBINA - BA,83186,BA
136,JAGUARUANA - CE,82493,CE
137,JANAUBA - MG,83395,MG
138,JANUARIA - MG,83386,MG
139,JATAI - GO,83464,GO
140,JOAO PESSOA - PB,82798,PB
141,JOAO PINHEIRO - MG,83481,MG
142,JUIZ DE FORA - MG,83692,MG
143,JURAMENTO - MG,83452,MG
144,LABREA - AM,82723,AM
145,LAGES - SC,83891,SC
146,LAGOA VERMELHA - RS,83916,RS
147,LAMBARI - MG,83032,MG
148,LAVRAS - MG,83687,MG
149,LENCOIS - BA,83242,BA
150,LONDRINA - PR,83766,PR
151,LUZILANDIA(LAG.DO PIAUI) - PI,82296,PI
152,MACAPA - AP,82098,AP
153,MACAU - RN,82594,RN
154,MACEIO - AL,82994,AL
155,MACHADO - MG,83683,MG
156,MANAUS - AM,82331,AM
157,MANICORE - AM,82533,AM
158,MARABA - PA,82562,PA
159,MARINGA - PR,83767,PR
160,MATUPA - MT,83214,MT
161,MOCAMBINHO - MG,83389,MG
162,MONTE ALEGRE - PA,82181,PA
163,MONTE AZUL - MG,83388,MG
164,MONTE SANTO - BA,83090,BA
165,MONTEIRO - PB,82792,PB
166,MONTES CLAROS - MG,83437,MG
167,MORADA NOVA - CE,82588,CE
168,MORRO DO CHAPEU - BA,83184,BA
169,NATAL - RN,82598,RN
170,NHUMIRIM (NHECOLANDIA) - MS,83513,MS
171,NOVA XAV.(XAVANTINA) - MT,83319,MT
172,OBIDOS - PA,82178,PA
173,OURICURI - PE,82753,PE
174,PADRE RICARDO REMETTER - MT,83364,MT
175,PALMAS - TO,83033,TO
176,PALMEIRA DOS INDIOS - AL,82992,AL
177,PAO DE ACUCAR - AL,82990,AL
178,PARACATU - MG,83479,MG
179,PARANAGUA - PR,83844,PR
180,PARANAIBA - MS,83565,MS
181,PARINTINS - AM,82240,AM
182,PARNAIBA - PI,82287,PI
183,PASSO FUNDO - RS,83914,RS
184,PATOS - PB,82791,PB
185,PATOS DE MINAS - MG,83531,MG
186,PAULISTANA - PI,82882,PI
187,PAULO AFONSO - BA,82986,BA
188,PEDRA AZUL - MG,83393,MG
189,PEDRO AFONSO - TO,82863,TO
190,PEIXE - TO,83228,TO
191,PELOTAS - RS,83985,RS
192,PETROLINA - PE,82983,PE
193,PICOS - PI,82780,PI
194,PIRAPORA - MG,83483,MG
195,PIRENOPOLIS - GO,83376,GO
196,PIRIPIRI - PI,82480,PI
197,POMPEU - MG,83570,MG
198,PONTA PORA - MS,83702,MS
199,PORTO ALEGRE - RS,83967,RS
200,PORTO DE MOZ - PA,82184,PA
201,PORTO DE PEDRAS - AL,82996,AL
202,PORTO NACIONAL - TO,83064,TO
203,POSSE - GO,83332,GO
204,POXOREO - MT,83358,MT
205,PRESIDENTE PRUDENTE - SP,83716,SP
206,PROPRIA - SE,83097,SE
207,QUIXERAMOBIM - CE,82586,CE
208,RECIFE (CURADO) - PE,82900,PE
209,REMANSO - BA,82979,BA
210,RESENDE - RJ,83738,RJ
211,RIO BRANCO - AC,82915,AC
212,RIO DE JANEIRO - RJ,83743,RJ
213,RIO GRANDE - RS,83995,RS
214,RIO VERDE - GO,83470,GO
215,RONCADOR - DF,83373,DF
216,RONDONOPOLIS - MT,83410,MT
217,S.G.DA CACHOEIRA(UAUPES) - AM,82106,AM
218,S?O GONCALO - PB,82689,PB
219,SALINAS - MG,83441,MG
220,SALVADOR (ONDINA) - BA,83229,BA
221,SANTA MARIA - RS,83936,RS
222,SANTA VITORIA DO PALMAR - RS,83997,RS
223,SANTANA DO LIVRAMENTO - RS,83953,RS
224,SAO CARLOS - SP,83726,SP
225,SAO FELIX DO XINGU - PA,82668,PA
226,SAO JOAO DO PIAUI - PI,82879,PI
227,SAO JOAQUIM - SC,83920,SC
228,SAO JOSE DO RIO CLARO - MT,83267,MT
229,SAO LOURENCO - MG,83736,MG
230,SAO LUIS - MA,82280,MA
231,SAO LUIZ GONZAGA - RS,83907,RS
232,SAO MATEUS - ES,83550,ES
233,SAO PAULO(MIR.de SANTANA) - SP,83781,SP
234,SAO S.DO PARAISO - MG,83631,MG
235,SAO SIMAO - SP,83669,SP
236,SENHOR DO BONFIM - BA,83088,BA
237,SERIDO (CAICO) - RN,82690,RN
238,SERRINHA - BA,83190,BA
239,SETE LAGOAS - MG,83586,MG
240,SOBRAL - CE,82392,CE
241,SOROCABA - SP,83851,SP
242,SOURE - PA,82141,PA
243,STa. R. DE CASSIA (IBIPETUBA) - BA,83076,BA
244,SURUBIM - PE,82797,PE
245,TAGUATINGA - TO,83235,TO
246,TARAUACA - AC,82807,AC
247,TAUA - CE,82683,CE
248,TAUBATE - SP,83784,SP
249,TEFE - AM,82317,AM
250,TERESINA - PI,82578,PI
251,TORRES - RS,83948,RS
252,TRACUATEUA - PA,82145,PA
253,TRIUNFO - PE,82789,PE
254,TUCURUI - PA,82361,PA
255,TURIACU - MA,82198,MA
256,UBERABA - MG,83577,MG
257,UNAI - MG,83428,MG
258,URUGUAIANA - RS,83927,RS
259,URUSSANGA - SC,83923,SC
260,VALE DO GURGUEIA (CRISTIANO CASTRO) - PI,82870,PI
261,VICOSA - MG,83642,MG
262,VITORIA - ES,83648,ES
263,VITORIA DA CONQUISTA - BA,83344,BA
264,VOTUPORANGA - SP,83623,SP
265,ZE DOCA - MA,82376,MA